ic_id,primary_alias,aliases,decision,evidence_count,clean_candidate,admitted_clean,strict_lemma_seed,typed_sense_seed,resolver_id,longman,ogden,high_frequency,early_aoa,high_concreteness,frequency,age_of_acquisition,concreteness,sense_count,tag_counts,fired_rules,flags
ic:over,over,over,admit,7,true,true,true,true,legacy_typed_sense_seed_pre_p2,true,true,true,true,false,6.121067135292526,5.571640000000001,2.46,7,"{""lexical-word"": 7}",r_admit_lexical,
ic:paper,paper,paper,admit,7,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,true,5.013809543730414,4.0,4.93,9,"{""lexical-word"": 9}",r_admit_lexical,
ic:place,place,place,admit,7,true,true,true,true,legacy_typed_sense_seed_pre_p2,true,true,true,true,false,5.779495619263105,4.95,3.48,32,"{""lexical-word"": 32}",r_admit_lexical,
ic:play,play,play,admit,7,true,true,true,true,legacy_typed_sense_seed_pre_p2,true,true,true,true,false,5.549080607051831,4.1,3.24,52,"{""lexical-word"": 51, ""technical-term"": 1}",r_admit_lexical,
ic:poison,poison,poison,admit,7,true,true,true,true,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.38978521313861,5.58,4.27,7,"{""lexical-word"": 7}",r_admit_lexical,
ic:powder,powder,powder,admit,7,true,true,true,true,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.2051180439048785,5.06,4.76,5,"{""lexical-word"": 5}",r_admit_lexical,
ic:quiet,quiet,quiet,admit,7,true,true,true,true,legacy_typed_sense_seed_pre_p2,true,true,true,true,false,5.068462695564611,4.15,2.76,13,"{""lexical-word"": 13}",r_admit_lexical,
ic:river,river,river,admit,7,true,true,true,true,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.74362057766875,4.9,4.89,1,"{""lexical-word"": 1}",r_admit_lexical,
ic:so,so,so,admit,7,true,true,true,true,legacy_typed_sense_seed_pre_p2,true,true,true,true,false,6.627197751579461,5.14536,1.42,11,"{""lexical-word"": 11}",r_admit_lexical,
ic:step,step,step,admit,7,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,true,5.073804816057012,4.11,4.54,21,"{""lexical-word"": 20, ""technical-term"": 1}",r_admit_lexical,
ic:talk,talk,talk,admit,7,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,true,5.931380392596807,3.68,4.07,11,"{""lexical-word"": 11}",r_admit_lexical,
ic:yellow,yellow,yellow,admit,7,true,true,true,true,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.528623241553753,3.2,4.3,8,"{""lexical-word"": 8}",r_admit_lexical,
ic:human,human,human,admit,7,true,true,true,true,legacy_typed_sense_seed_pre_p2,true,false,true,true,true,5.095564313119004,4.83,4.93,4,"{""lexical-word"": 4}",r_admit_lexical,
ic:outside,outside,outside,admit,7,true,true,true,true,legacy_typed_sense_seed_pre_p2,true,false,true,true,true,5.229953411338771,3.578781,4.25,14,"{""lexical-word"": 14}",r_admit_lexical,
ic:piece,piece,piece,admit,7,true,true,true,true,legacy_typed_sense_seed_pre_p2,true,false,true,true,true,5.0946078674364355,4.89,4.14,18,"{""lexical-word"": 17, ""technical-term"": 1}",r_admit_lexical,
ic:after,after,after,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,false,5.833575592240191,5.997920000000001,2.12,3,"{""lexical-word"": 3}",r_admit_lexical,
ic:animal,animal,animal,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.657509282600378,2.89,4.61,2,"{""lexical-word"": 1, ""technical-term"": 1}",r_admit_lexical,
ic:apple,apple,apple,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.373901076429573,4.15,5.0,2,"{""lexical-word"": 2}",r_admit_lexical,
ic:before,before,before,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,false,5.899310611470681,5.454413000000001,1.96,2,"{""lexical-word"": 2}",r_admit_lexical,
ic:bird,bird,bird,admit,6,true,true,false,true,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.657134890782447,3.52,5.0,6,"{""lexical-word"": 6}",r_admit_lexical,
ic:blade,blade,blade,admit,6,true,true,true,true,legacy_typed_sense_seed_pre_p2,true,true,false,false,true,4.114002221512477,6.72,4.93,9,"{""lexical-word"": 9}",r_admit_lexical,
ic:boat,boat,boat,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.980787604781877,3.84,4.93,3,"{""lexical-word"": 3}",r_admit_lexical,
ic:bone,bone,bone,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.415685783111545,5.53,4.9,6,"{""lexical-word"": 6}",r_admit_lexical,
ic:brain,brain,brain,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.886116170956266,5.76,4.69,7,"{""lexical-word"": 7}",r_admit_lexical,
ic:branch,branch,branch,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.003641371185651,5.11,4.9,8,"{""lexical-word"": 8}",r_admit_lexical,
ic:burn,burn,burn,admit,6,true,true,false,true,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.741620989130233,4.72,4.11,19,"{""lexical-word"": 19}",r_admit_lexical,
ic:chest,chest,chest,admit,6,true,true,false,true,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.612188174962132,5.05,4.93,4,"{""lexical-word"": 4}",r_admit_lexical,
ic:chink,chink,chink;clack;click;clink;cluck;crack;flick,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.516108156438717,5.22,4.53,64,"{""lexical-word"": 64}",r_admit_lexical,
ic:church,church,church,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.842551565613743,5.15,4.9,5,"{""lexical-word"": 5}",r_admit_lexical,
ic:clean,clean,clean;clear,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,false,5.234536511033127,3.89,3.55,76,"{""lexical-word"": 75, ""technical-term"": 1}",r_admit_lexical,
ic:cloud,cloud,cloud,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.069985392528103,3.63,4.54,14,"{""lexical-word"": 13, ""technical-term"": 1}",r_admit_lexical,
ic:cold,cold,cold,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,false,5.11393681079138,3.95,3.85,16,"{""lexical-word"": 15, ""technical-term"": 1}",r_admit_lexical,
ic:comb,comb,comb,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,3.7831958359787325,5.5,5.0,8,"{""lexical-word"": 8}",r_admit_lexical,
ic:cotton,cotton,cotton,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.1515727083416065,6.0,4.97,5,"{""lexical-word"": 5}",r_admit_lexical,
ic:country,country,country,admit,6,true,true,false,true,legacy_typed_sense_seed_pre_p2,true,true,true,false,true,5.208551219743272,7.05,4.17,5,"{""lexical-word"": 5}",r_admit_lexical,
ic:cover,cover,cover;covert,admit,6,true,true,false,true,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.973888919218267,5.42,4.23,40,"{""lexical-word"": 40}",r_admit_lexical,
ic:daughter,daughter,daughter,admit,6,true,true,false,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,true,5.233345574778863,4.95,4.79,1,"{""lexical-word"": 1}",r_admit_lexical,
ic:dead,dead,dead,admit,6,true,true,false,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,true,5.651650659245719,5.17,4.07,21,"{""lexical-word"": 21}",r_admit_lexical,
ic:different,different,different,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,false,5.320689951534904,5.5,1.97,4,"{""lexical-word"": 3, ""technical-term"": 1}",r_admit_lexical,
ic:dirty,dirty,dirty,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.822033840347542,4.55,4.23,13,"{""lexical-word"": 13}",r_admit_lexical,
ic:door,door,door,admit,6,true,true,false,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,true,5.464903805781727,3.05,4.81,5,"{""lexical-word"": 5}",r_admit_lexical,
ic:drink,drink,drink,admit,6,true,true,false,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,true,5.392824665214425,3.47,4.76,10,"{""lexical-word"": 10}",r_admit_lexical,
ic:dust,dust,dust,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.377124720374525,5.06,4.4,7,"{""lexical-word"": 7}",r_admit_lexical,
ic:farm,farm,farm,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.477376296998835,3.85,4.59,4,"{""lexical-word"": 4}",r_admit_lexical,
ic:feeling,feeling,feeling,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,false,5.225220184047514,5.3052150000000005,1.68,6,"{""lexical-word"": 5, ""technical-term"": 1}",r_admit_lexical,
ic:female,female,female,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.499468509533422,5.89,4.57,5,"{""lexical-word"": 5}",r_admit_lexical,
ic:fire,fire,fire,admit,6,true,true,false,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,true,5.332871350011488,3.25,4.68,21,"{""lexical-word"": 21}",r_admit_lexical,
ic:first,first,first,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,false,5.9239876256550925,4.388713,2.76,15,"{""lexical-word"": 15}",r_admit_lexical,
ic:flat,flat,flat,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.418290255576264,5.68,4.07,24,"{""lexical-word"": 22, ""technical-term"": 2}",r_admit_lexical,
ic:foot,foot,foot,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.811924470257303,3.44,4.9,14,"{""lexical-word"": 14}",r_admit_lexical,
ic:free,free,free,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,false,5.248722596794537,5.21,2.04,22,"{""lexical-word"": 21, ""technical-term"": 1}",r_admit_lexical,
ic:front,front,front,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,false,5.258445128826394,5.187988000000001,3.77,13,"{""lexical-word"": 13}",r_admit_lexical,
ic:garden,garden,garden,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.4237734373548845,5.33,4.73,5,"{""lexical-word"": 5}",r_admit_lexical,
ic:girl,girl,girl,admit,6,true,true,false,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,true,5.745366518269567,4.0,4.85,5,"{""lexical-word"": 5}",r_admit_lexical,
ic:glass,glass,glass,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.782775347501246,4.47,4.82,12,"{""lexical-word"": 12}",r_admit_lexical,
ic:go,go,go,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,false,6.578393896124764,3.37,3.15,35,"{""lexical-word"": 35}",r_admit_lexical,
ic:great,great,great,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,false,5.913685237688773,5.05,1.81,7,"{""lexical-word"": 6, ""technical-term"": 1}",r_admit_lexical,
ic:hammer,hammer,hammer,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.09597357447981,5.42,4.77,10,"{""lexical-word"": 10}",r_admit_lexical,
ic:hard,hard,hard,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,false,5.487761455741685,4.39,3.76,22,"{""lexical-word"": 22}",r_admit_lexical,
ic:heart,heart,heart,admit,6,true,true,false,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,true,5.387143003529841,5.17,4.52,10,"{""lexical-word"": 10}",r_admit_lexical,
ic:high,high,high,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,false,5.289482597040666,4.58,3.46,18,"{""lexical-word"": 18}",r_admit_lexical,
ic:horse,horse,horse,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.967429198531207,4.15,5.0,6,"{""lexical-word"": 6}",r_admit_lexical,
ic:hospital,hospital,hospital,admit,6,true,true,false,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,true,5.093580761363921,5.55,4.64,2,"{""lexical-word"": 2}",r_admit_lexical,
ic:idea,idea,idea,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,false,5.5545699218109466,5.95,1.61,5,"{""lexical-word"": 4, ""technical-term"": 1}",r_admit_lexical,
ic:important,important,important,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,false,5.31664807477377,5.79,2.14,5,"{""lexical-word"": 5}",r_admit_lexical,
ic:jump,jump,jump,admit,6,true,true,false,true,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.843528057271684,2.84,4.52,21,"{""lexical-word"": 21}",r_admit_lexical,
ic:kiss,kiss,kiss,admit,6,true,true,false,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,true,5.082822617233276,3.61,4.48,6,"{""lexical-word"": 6}",r_admit_lexical,
ic:knife,knife,knife,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.669868464601791,4.15,4.9,4,"{""lexical-word"": 4}",r_admit_lexical,
ic:late,late,late,admit,6,true,true,false,true,legacy_typed_sense_seed_pre_p2,true,true,true,true,false,5.430357879423617,5.28,2.6,11,"{""lexical-word"": 11}",r_admit_lexical,
ic:left,left,left,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,false,5.684671734810117,5.571640000000001,3.7,10,"{""lexical-word"": 9, ""technical-term"": 1}",r_admit_lexical,
ic:letter,letter,letter,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.916528673416542,4.74,4.7,8,"{""lexical-word"": 7, ""technical-term"": 1}",r_admit_lexical,
ic:lock,lock,lock,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.752130468901935,5.74,4.65,15,"{""lexical-word"": 15}",r_admit_lexical,
ic:long,long,long,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,false,5.828821617275062,4.239515000000001,3.18,12,"{""lexical-word"": 12}",r_admit_lexical,
ic:make,make,make,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,false,6.141720156407864,4.68,2.67,51,"{""lexical-word"": 49, ""technical-term"": 2}",r_admit_lexical,
ic:married,married,married,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,false,5.376910553616554,5.156017,2.82,3,"{""lexical-word"": 3}",r_admit_lexical,
ic:meeting,meeting,meeting,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,false,5.121330891864643,5.72,3.31,6,"{""lexical-word"": 6}",r_admit_lexical,
ic:mind,mind,mind,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,false,5.684812328687,5.37,2.5,13,"{""lexical-word"": 13}",r_admit_lexical,
ic:month,month,month,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.978023376388483,5.79,4.2,2,"{""lexical-word"": 2}",r_admit_lexical,
ic:name,name,name,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,false,5.806859754176526,3.68,3.5,15,"{""lexical-word"": 13, ""technical-term"": 2}",r_admit_lexical,
ic:nose,nose,nose,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.843040085892366,2.95,4.89,14,"{""lexical-word"": 14}",r_admit_lexical,
ic:pencil,pencil,pencil,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,3.9942646785899854,4.06,4.88,5,"{""lexical-word"": 5}",r_admit_lexical,
ic:person,person,person,admit,6,true,true,false,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,true,5.327583979464121,4.67,4.72,3,"{""lexical-word"": 3}",r_admit_lexical,
ic:plane,plane,plane;planer,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.979630553525754,4.95,4.92,10,"{""lexical-word"": 9, ""technical-term"": 1}",r_admit_lexical,
ic:plant,plant,plant,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.440745135253817,3.95,4.76,10,"{""lexical-word"": 10}",r_admit_lexical,
ic:plate,plate,plate,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.408773788695216,3.84,4.77,16,"{""lexical-word"": 16}",r_admit_lexical,
ic:pocket,pocket,pocket,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.552382514781439,4.74,4.68,11,"{""lexical-word"": 11}",r_admit_lexical,
ic:quick,quick,quick,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,false,5.035579020736922,5.89,2.89,8,"{""lexical-word"": 8}",r_admit_lexical,
ic:rain,rain,rain,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.688904692103868,3.6,4.97,4,"{""lexical-word"": 4}",r_admit_lexical,
ic:road,road,road,admit,6,true,true,false,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,true,5.048470250390308,4.55,4.75,2,"{""lexical-word"": 2}",r_admit_lexical,
ic:roof,roof,roof,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.551666841207943,5.0,4.79,5,"{""lexical-word"": 5}",r_admit_lexical,
ic:room,room,room,admit,6,true,true,false,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,true,5.64239226008616,4.22,4.79,5,"{""lexical-word"": 5}",r_admit_lexical,
ic:seat,seat,seat,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.8959521483364945,4.58,4.78,16,"{""lexical-word"": 16}",r_admit_lexical,
ic:second,second,second,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,false,5.4536212608899834,4.68,3.3,15,"{""lexical-word"": 15}",r_admit_lexical,
ic:seed,seed,seed,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,3.8795451071633713,4.72,4.71,13,"{""lexical-word"": 13}",r_admit_lexical,
ic:shirt,shirt,shirt,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.6658488824363715,3.53,4.94,2,"{""lexical-word"": 2}",r_admit_lexical,
ic:shoe,shoe,shoe,admit,6,true,true,false,true,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.482445939958065,2.6,4.97,5,"{""lexical-word"": 5}",r_admit_lexical,
ic:shut,shut,shut,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,false,5.4207501205982975,4.89,3.38,5,"{""lexical-word"": 5}",r_admit_lexical,
ic:sign,sign,sign,admit,6,true,true,false,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,true,5.124215302391501,4.32,4.62,20,"{""lexical-word"": 18, ""technical-term"": 2}",r_admit_lexical,
ic:sleep,sleep,sleep,admit,6,true,true,false,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,true,5.35726446076483,2.79,4.44,6,"{""lexical-word"": 6}",r_admit_lexical,
ic:small,small,small,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,false,5.096246201282174,3.22,3.22,13,"{""lexical-word"": 13}",r_admit_lexical,
ic:smoke,smoke,smoke,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.815320474487688,4.0,4.96,10,"{""lexical-word"": 10}",r_admit_lexical,
ic:soap,soap,soap,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.181695863402648,3.17,4.93,4,"{""lexical-word"": 4}",r_admit_lexical,
ic:sound,sound,sound,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,false,5.1559890981464855,3.72,3.7,25,"{""lexical-word"": 23, ""technical-term"": 2}",r_admit_lexical,
ic:especial,special,especial;special,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,false,5.171388743083434,5.0,1.76,11,"{""lexical-word"": 10, ""technical-term"": 1}",r_admit_lexical,
ic:spoon,spoon,spoon,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,3.8817837434701676,2.5,4.96,5,"{""lexical-word"": 5}",r_admit_lexical,
ic:square,square,square,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.501617156992975,4.11,4.33,25,"{""lexical-word"": 25}",r_admit_lexical,
ic:star,star,star,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.909882238856553,3.89,4.69,12,"{""lexical-word"": 11, ""technical-term"": 1}",r_admit_lexical,
ic:stem,stem,stem,admit,6,true,true,true,true,legacy_typed_sense_seed_pre_p2,true,true,false,false,true,3.3525319824980717,7.26,4.63,10,"{""lexical-word"": 9, ""technical-term"": 1}",r_admit_lexical,
ic:stomach,stomach,stomach,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.5288749335236504,5.26,4.89,6,"{""lexical-word"": 6}",r_admit_lexical,
ic:street,street,street,admit,6,true,true,false,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,true,5.170241029725456,4.58,4.75,5,"{""lexical-word"": 5}",r_admit_lexical,
ic:table,table,table,admit,6,true,true,false,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,true,5.023261729195408,4.39,4.9,8,"{""lexical-word"": 8}",r_admit_lexical,
ic:taste,taste,taste,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.709803784359197,4.26,4.07,13,"{""lexical-word"": 12, ""technical-term"": 1}",r_admit_lexical,
ic:thick,thick,thick,admit,6,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.145532353920634,5.61,4.0,13,"{""lexical-word"": 13}",r_admit_lexical,
