sense_key,lemma_or_redacted,pos,gloss_or_elided,gold_lexicality,stratum,notes
oewn-jra__1.14.00..,JRA,n,a terrorist group organized in 1970 to overthrow the Japanese government and monarchy and to foment world revolution; is said to have close ties with Palestinian terrorists,symbol-code,short_token,short upper/mixed-case token (code)
oewn-off__2.41.00..,off,v,kill intentionally and with premeditation,symbol-code,short_token,short token not on whitelist
oewn-elk__1.05.02..,elk,n,large North American deer with large much-branched antlers in the male,symbol-code,short_token,short token not on whitelist
oewn-van__1.14.01..,van,n,any creative group active in the innovation and application of new concepts and techniques in a given field (especially in the arts),symbol-code,short_token,short token not on whitelist
oewn-bum__1.18.01..,bum,n,a vagrant,symbol-code,short_token,short token not on whitelist
oewn-job__2.41.03..,job,v,arranged for contracted work to be done by others,symbol-code,short_token,short token not on whitelist
oewn-nuwc__1.14.00..,NUWC,n,the agency that provides scientific and engineering and technical support for submarine and undersea warfare systems,lexical-word,short_token,ordinary content word (default)
oewn-dim__5.00.00.stupid.00,dim,a,slow to learn or understand; lacking intellectual acuity,symbol-code,short_token,short token not on whitelist
oewn-cut__2.36.01..,cut,v,"form by probing, penetrating, or digging",symbol-code,short_token,short token not on whitelist
oewn-kos__1.23.00..,kos,n,(in India) a unit of length having different values in different localities,symbol-code,short_token,gloss: letter/symbol/unit-code cue
oewn-tad__1.23.00..,tad,n,a slight amount or degree of difference,symbol-code,short_token,short token not on whitelist
oewn-fog__1.26.01..,fog,n,an atmosphere in which visibility is reduced because of a cloud of some substance,symbol-code,short_token,short token not on whitelist
oewn-act__2.33.00..,act,v,discharge one's duties,symbol-code,short_token,short token not on whitelist
oewn-pap__1.13.00..,pap,n,a diet that does not require chewing; advised for those with intestinal disorders,symbol-code,short_token,short token not on whitelist
oewn-5th__5.00.00.ordinal.00,5th,a,coming next after the fourth and just before the sixth in position,symbol-code,short_token,short token not on whitelist
oewn-sum__1.14.01..,sum,n,a set containing all and only the members of two or more given sets,symbol-code,short_token,short token not on whitelist
oewn-xix__1.23.00..,XIX,n,the cardinal number that is the sum of eighteen and one,symbol-code,short_token,short upper/mixed-case token (code)
oewn-toe__1.06.01..,toe,n,(golf) the part of a clubhead farthest from the shaft,symbol-code,short_token,short token not on whitelist
oewn-lx__1.23.00..,LX,n,the cardinal number that is the product of ten and six,symbol-code,short_token,short upper/mixed-case token (code)
oewn-yet__4.02.05..,yet,r,used after a superlative,symbol-code,short_token,short token not on whitelist
oewn-dia__1.14.00..,DIA,n,an intelligence agency of the United States in the Department of Defense; is responsible for providing intelligence in support of military planning and operations and weapons acquisition,symbol-code,short_token,short upper/mixed-case token (code)
oewn-el_cid__1.18.00..,El Cid,n,the hero of a Spanish epic poem from the 12th century,proper-name,short_token,gloss: named-entity cue
oewn-bay__2.32.01..,bay,v,utter in deep prolonged tones,symbol-code,short_token,short token not on whitelist
oewn-hug__2.35.01..,hug,v,"hold (someone) tightly in your arms, usually with fondness",symbol-code,short_token,short token not on whitelist
oewn-gee__2.32.00..,gee,v,give a command to a horse to turn to the right side,symbol-code,short_token,short token not on whitelist
oewn-art__1.09.00..,art,n,a superior skill that you can learn by study and practice and observation,symbol-code,short_token,short token not on whitelist
oewn-ga__1.27.00..,Ga,n,a rare silvery (usually trivalent) metallic element; brittle at low temperatures but liquid above room temperature; occurs in trace amounts in bauxite and zinc ores,chemical,short_token,gloss: chemical substance/element cue
oewn-ex__5.00.00.unfashionable.00,ex,a,out of fashion,symbol-code,short_token,short token not on whitelist
oewn-say__2.32.03..,say,v,express a supposition,symbol-code,short_token,short token not on whitelist
oewn-mon__1.10.00..,Mon,n,the Mon-Khmer language spoken by the Mon,symbol-code,short_token,"short titlecase token, not whitelisted"
oewn-jib__2.38.00..,jib,v,shift from one side of the ship to the other,symbol-code,short_token,short token not on whitelist
oewn-bad__5.00.00.nonstandard.03,bad,a,nonstandard,symbol-code,short_token,short token not on whitelist
oewn-get__2.36.14..,get,v,apprehend and reproduce accurately,symbol-code,short_token,short token not on whitelist
oewn-hip__1.20.00..,[redacted-offensive-lexicon],n,[gloss elided],symbol-code,short_token,short token not on whitelist | OFFENSIVE-REDACTED
oewn-pat__4.02.00..,pat,r,completely or perfectly,symbol-code,short_token,short token not on whitelist
oewn-orb__2.38.00..,orb,v,move in an orbit,symbol-code,short_token,short token not on whitelist
oewn-basic__1.10.00..,BASIC,n,a popular programming language that is relatively easy to learn; an acronym for beginner's all-purpose symbolic instruction code; no longer in general use,abbreviation,short_token,gloss: abbreviation/acronym cue
oewn-gd__1.27.00..,Gd,n,a ductile silvery-white ductile ferromagnetic trivalent metallic element of the rare earth group,chemical,short_token,gloss: chemical substance/element cue
oewn-air__2.32.00..,air,v,make public,symbol-code,short_token,short token not on whitelist
oewn-rip__1.04.00..,rip,n,the act of rending or ripping or splitting something,symbol-code,short_token,short token not on whitelist
oewn-gp__1.18.00..,GP,n,a physician who is not a specialist but treats all illnesses,symbol-code,short_token,short upper/mixed-case token (code)
oewn-bar__1.23.00..,bar,n,(meteorology) a unit of pressure equal to a million dynes per square centimeter,symbol-code,short_token,gloss: letter/symbol/unit-code cue
oewn-aim__2.32.09..,aim,v,move into a desired direction of discourse,symbol-code,short_token,short token not on whitelist
oewn-ask__2.32.01..,ask,v,make a request or demand for something to somebody,symbol-code,short_token,short token not on whitelist
oewn-jam__1.14.00..,jam,n,a dense crowd of people,symbol-code,short_token,short token not on whitelist
oewn-cpa__1.18.00..,CPA,n,an accountant who has passed certain examinations and met all other statutory and licensing requirements of a United States state to be certified by that state,symbol-code,short_token,short upper/mixed-case token (code)
oewn-bob__1.05.00..,bob,n,a short or shortened tail of certain animals,symbol-code,short_token,short token not on whitelist
oewn-bar__1.14.00..,bar,n,the body of individuals qualified to practice law in a particular jurisdiction,technical-term,short_token,gloss: technical-domain cue
oewn-zep__1.13.00..,zep,n,a large sandwich made of a long crusty roll split lengthwise and filled with meats and cheese (and tomato and onion and lettuce and condiments); different names are used in different sections of the United States,symbol-code,short_token,short token not on whitelist
oewn-esr__1.04.00..,ESR,n,microwave spectroscopy in which there is resonant absorption of radiation by a paramagnet,symbol-code,short_token,short upper/mixed-case token (code)
oewn-cpu__1.06.00..,CPU,n,(computer science) the part of a computer (a microprocessor chip) that does most of the data processing,symbol-code,short_token,short upper/mixed-case token (code)
oewn-arc__2.38.00..,arc,v,form an arch or curve,symbol-code,short_token,short token not on whitelist
oewn-pig__1.06.00..,pig,n,a crude block of metal (lead or iron) poured from a smelting furnace,symbol-code,short_token,short token not on whitelist
oewn-mil__1.23.02..,mil,n,a metric unit of volume equal to one thousandth of a liter,symbol-code,short_token,gloss: letter/symbol/unit-code cue
oewn-sky__2.35.00..,sky,v,throw or toss with a light motion,symbol-code,short_token,short token not on whitelist
oewn-grapo__1.14.00..,GRAPO,n,an armed wing of the (illegal) Communist Party of Spain; seeks to overthrow the Spanish government and replace it with a Marxist-Leninist regime,lexical-word,short_token,ordinary content word (default)
oewn-gsr__1.04.00..,GSR,n,a change in the electrical properties of the skin in response to stress or anxiety; can be measured either by recording the electrical resistance of the skin or by recording weak currents generated by the body,symbol-code,short_token,short upper/mixed-case token (code)
oewn-rib__1.10.00..,rib,n,a teasing remark,symbol-code,short_token,short token not on whitelist
oewn-cad__1.18.00..,cad,n,someone who is morally reprehensible,symbol-code,short_token,short token not on whitelist
oewn-ex__1.10.00..,ex,n,the 24th letter of the Roman alphabet,symbol-code,short_token,gloss: letter/symbol/unit-code cue
oewn-cap__1.06.03..,cap,n,something serving as a cover or protection,symbol-code,short_token,short token not on whitelist
oewn-tt__1.15.00..,TT,n,a country scattered over Micronesia with a constitutional government in free association with the United States; achieved independence in 1986,symbol-code,short_token,short upper/mixed-case token (code)
oewn-ec__1.14.00..,EC,n,an international organization of European countries formed after World War II to reduce trade barriers and increase cooperation among its members,symbol-code,short_token,short upper/mixed-case token (code)
oewn-rim__1.06.03..,rim,n,(basketball) the hoop from which the net is suspended,symbol-code,short_token,short token not on whitelist
oewn-tub__1.06.00..,tub,n,a large open vessel for holding or storing liquids,symbol-code,short_token,short token not on whitelist
oewn-tee__2.35.00..,tee,v,place on a tee,symbol-code,short_token,short token not on whitelist
oewn-die__2.30.00..,die,v,pass from physical life and lose all bodily attributes and functions necessary to sustain life,symbol-code,short_token,short token not on whitelist
oewn-nap__2.29.00..,nap,v,take a siesta,symbol-code,short_token,short token not on whitelist
oewn-13__5.00.00.cardinal.00,13,a,being one more than twelve,symbol-code,short_token,short token not on whitelist
oewn-cog__1.06.00..,cog,n,tooth on the rim of gear wheel,symbol-code,short_token,short token not on whitelist
oewn-man__2.41.00..,man,v,take charge of a certain job; occupy a certain work place,symbol-code,short_token,short token not on whitelist
oewn-pow__1.18.00..,POW,n,a person who surrenders to (or is taken by) the enemy in time of war,symbol-code,short_token,short upper/mixed-case token (code)
oewn-boy__1.18.00..,boy,n,a youthful male person,symbol-code,short_token,short token not on whitelist
oewn-cd8__1.27.00..,CD8,n,a membrane glycoprotein that is found primarily on the surface of cytotoxic T cells,symbol-code,short_token,short upper/mixed-case token (code)
oewn-edd__1.10.00..,EdD,n,a doctor's degree in education,symbol-code,short_token,short upper/mixed-case token (code)
oewn-rna__1.27.00..,RNA,n,(biochemistry) a long linear polymer of nucleotides found in the nucleus but mainly in the cytoplasm of a cell where it is associated with microsomes; it transmits genetic information from DNA to the cytoplasm and controls certain chemical processes in the cell,chemical,short_token,lemma is a chemical formula + chemistry gloss
oewn-asp__1.05.02..,asp,n,cobra used by the Pharaohs as a symbol of their power over life and death,symbol-code,short_token,short token not on whitelist
oewn-map__2.42.00..,map,v,locate within a specific region of a chromosome in relation to known DNA or gene sequences,symbol-code,short_token,short token not on whitelist
oewn-vex__2.35.00..,vex,v,change the arrangement or position of,symbol-code,short_token,short token not on whitelist
oewn-ney__1.18.00..,Ney,n,French marshal in the Napoleonic Wars (1769-1815),symbol-code,short_token,"short titlecase token, not whitelisted"
oewn-run__2.36.02..,run,v,include as the content; broadcast or publicize,symbol-code,short_token,short token not on whitelist
oewn-iaa__1.14.00..,IAA,n,Yemen-based terrorist group that supports al-Qaeda's goals; seeks to overthrow the Yemeni government and eliminate United States interests; responsible for bombings and kidnappings and killing western tourists in Yemen,symbol-code,short_token,short upper/mixed-case token (code)
oewn-bbl__1.23.01..,bbl,n,any of various units of capacity,symbol-code,short_token,short token not on whitelist
oewn-cut__2.35.00..,cut,v,separate with or as if with an instrument,symbol-code,short_token,short token not on whitelist
oewn-sew__2.36.00..,sew,v,create (clothes) with cloth,symbol-code,short_token,short token not on whitelist
oewn-v-j_day__1.28.00..,V-J Day,n,"the date of Allied victory over Japan, World War II",phrase,short_token,compositional multiword lemma
oewn-pb__1.23.00..,PB,n,a unit of information equal to 1024 tebibytes or 2^50 bytes,symbol-code,short_token,short upper/mixed-case token (code)
oewn-wok__1.06.00..,wok,n,pan with a convex bottom; used for frying in Chinese cooking,symbol-code,short_token,short token not on whitelist
oewn-dry__3.00.04..,dry,a,opposed to or prohibiting the production and sale of alcoholic beverages,symbol-code,short_token,short token not on whitelist
oewn-git__1.18.00..,git,n,a person who is deemed to be despicable or contemptible,symbol-code,short_token,short token not on whitelist
oewn-lid__1.06.01..,lid,n,headdress that protects the head from bad weather; has shaped crown and usually a brim,symbol-code,short_token,short token not on whitelist
oewn-dm__1.23.00..,dm,n,a metric unit of length equal to one tenth of a meter,symbol-code,short_token,gloss: letter/symbol/unit-code cue
oewn-leg__1.06.02..,leg,n,a prosthesis that replaces a missing leg,symbol-code,short_token,short token not on whitelist
oewn-ddc__1.06.01..,DDC,n,an antiviral drug used to combat HIV infection; a nucleoside analog reverse transcriptase inhibitor (NARTI),symbol-code,short_token,short upper/mixed-case token (code)
oewn-dab__2.34.01..,dab,v,to smoke marijuana using butane hash oil,symbol-code,short_token,short token not on whitelist
oewn-npa__1.14.00..,NPA,n,a terrorist organization that is the militant wing of the Communist Party of the Philippines; a Maoist organization formed to overthrow the government; uses hit squads called Sparrow Units; opposes United States military presence in the Philippines,symbol-code,short_token,short upper/mixed-case token (code)
oewn-ig__1.27.00..,Ig,n,a class of proteins produced in lymph tissue in vertebrates and that function as antibodies in the immune response,taxon,short_token,gloss: taxonomic rank cue
oewn-zap__2.37.00..,zap,v,strike suddenly and with force,symbol-code,short_token,short token not on whitelist
oewn-dip__2.35.11..,dip,v,immerse in a disinfectant solution,symbol-code,short_token,short token not on whitelist
oewn-dun__5.00.00.chromatic.00,dun,a,of a dull greyish brown to brownish grey color,symbol-code,short_token,short token not on whitelist
oewn-ng__1.23.00..,ng,n,"one billionth (1/1,000,000,000) gram",symbol-code,short_token,short token not on whitelist
oewn-ipod__1.06.00..,iPod,n,(trademark) a pocket-sized device used to play music files,technical-term,short_token,gloss: technical-domain cue
oewn-bid__2.40.00..,bid,v,propose a payment,symbol-code,short_token,short token not on whitelist
oewn-die__2.37.00..,die,v,"be brought to or as if to the point of death by an intense emotion such as embarrassment, amusement, or shame",symbol-code,short_token,short token not on whitelist
oewn-kw-hr__1.23.00..,kW-hr,n,a unit of energy equal to the work done by a power of 1000 watts operating for one hour,phrase,short_token,compositional multiword lemma
oewn-try__2.30.00..,try,v,melt (fat or lard) in order to separate out impurities,symbol-code,short_token,short token not on whitelist
oewn-hob__1.06.00..,hob,n,a shelf beside an open fire where something can be kept warm,symbol-code,short_token,short token not on whitelist
oewn-fly__2.38.03..,fly,v,run away quickly,symbol-code,short_token,short token not on whitelist
oewn-red__5.00.00.colored.00,red,a,(especially of the face) reddened or suffused with or as if with blood from emotion or exertion,symbol-code,short_token,short token not on whitelist
oewn-tc__1.14.00..,TC,n,a permanent council of the United Nations that commissions a country (or countries) to undertake the administration of a territory,symbol-code,short_token,short upper/mixed-case token (code)
oewn-hot__5.00.00.new.00,hot,a,newest or most recent,symbol-code,short_token,short token not on whitelist
oewn-pap__1.10.00..,pap,n,worthless or oversimplified ideas,symbol-code,short_token,short token not on whitelist
oewn-run__2.42.04..,run,v,have a particular form,symbol-code,short_token,short token not on whitelist
oewn-dim__2.39.01..,dim,v,switch (a car's headlights) from a higher to a lower beam,symbol-code,short_token,short token not on whitelist
oewn-fly__2.38.01..,fly,v,operate an airplane,symbol-code,short_token,short token not on whitelist
oewn-lxx__1.23.00..,LXX,n,the cardinal number that is the product of ten and seven,symbol-code,short_token,short upper/mixed-case token (code)
oewn-buy__2.40.00..,buy,v,obtain by purchase; acquire by means of a financial transaction,symbol-code,short_token,short token not on whitelist
oewn-tap__2.38.04..,tap,v,draw (liquor) from a tap,symbol-code,short_token,short token not on whitelist
oewn-rut__2.35.00..,rut,v,hollow out in the form of a furrow or groove,symbol-code,short_token,short token not on whitelist
oewn-toy__2.41.00..,toy,v,behave carelessly or indifferently,symbol-code,short_token,short token not on whitelist
oewn-al__1.15.00..,AL,n,a state in the southeastern United States on the Gulf of Mexico; one of the Confederate states during the American Civil War,symbol-code,short_token,short upper/mixed-case token (code)
oewn-box__1.23.00..,box,n,the quantity contained in a box,symbol-code,short_token,short token not on whitelist
oewn-52__5.00.00.cardinal.00,52,a,being two more than fifty,symbol-code,short_token,short token not on whitelist
oewn-hit__2.33.00..,hit,v,"make a strategic, offensive, assault against an enemy, opponent, or a target",symbol-code,short_token,short token not on whitelist
oewn-21__1.23.00..,21,n,the cardinal number that is the sum of twenty and one,symbol-code,short_token,gloss: letter/symbol/unit-code cue
oewn-topv__1.06.00..,TOPV,n,an oral vaccine (containing live but weakened poliovirus) that is given to provide immunity to poliomyelitis,lexical-word,short_token,ordinary content word (default)
oewn-dry__2.30.00..,dry,v,become dry or drier,symbol-code,short_token,short token not on whitelist
oewn-bob__1.06.01..,bob,n,"a hanging weight, especially a metal ball on a string",symbol-code,short_token,short token not on whitelist
oewn-tut__2.32.00..,tut,v,"utter ‘tsk,’ ‘tut,’ or ‘tut-tut,’ as in disapproval",symbol-code,short_token,short token not on whitelist
oewn-end__1.15.00..,end,n,either extremity of something that has length,symbol-code,short_token,short token not on whitelist
oewn-mar__1.07.00..,mar,n,a mark or flaw that spoils the appearance of something (especially on a person's body),technical-term,short_token,gloss: technical-domain cue
oewn-pius_v__1.18.00..,Pius V,n,Italian pope from 1566 to 1572 who led the reformation of the Roman Catholic Church; he excommunicated Elizabeth I (1504-1572),phrase,short_token,compositional multiword lemma
