node_id,lemma,pos,surface_word,gloss,component,is_seed,seed_method,candidate_seed_id,layer,degree_score,outdegree,indegree,frequency,age_of_acquisition,concreteness,source_label
help::v,help,v,help,give help or assistance; be of service,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,17,13,4,5.963728665708805,3.65,2.56,help [v] :: give help or assistance; be of service
god::n,god,n,god,the supernatural being conceived as the perfect and omnipotent and om...,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,357,347,10,5.955176933134951,4.346085,2.07,god [n] :: the supernatural being conceived as the perfect and omnipotent and om...
night::n,night,n,night,Roman goddess of night; daughter of Erebus; counterpart of Greek Nyx,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,147,141,6,5.936951708951002,3.61,4.52,night [n] :: Roman goddess of night; daughter of Erebus; counterpart of Greek Nyx
talk::v,talk,v,talk,exchange thoughts; talk with,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,61,59,2,5.931380392596807,3.68,4.07,talk [v] :: exchange thoughts; talk with
first::n,first,n,first,the first or highest in an ordering or series,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,1068,1065,3,5.9239876256550925,4.388713,2.76,first [n] :: the first or highest in an ordering or series
put::v,put,v,put,put into a certain place or abstract location,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,175,170,5,5.917681413262269,3.72,2.5,put [v] :: put into a certain place or abstract location
great::n,great,n,great,a person who has achieved distinction and honor in some field,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,262,259,3,5.913685237688773,5.05,1.81,great [n] :: a person who has achieved distinction and honor in some field
great::a,great,a,great,relatively large in size or number or extent; larger than others of i...,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,131,126,5,5.913685237688773,5.05,1.81,great [a] :: relatively large in size or number or extent; larger than others of i...
thought::n,thought,n,thought,the content of cognition; the main thing you are thinking about,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,234,229,5,5.907079076170835,5.891350000000001,1.97,thought [n] :: the content of cognition; the main thing you are thinking about
day::n,day,n,day,United States writer best known for his autobiographical works (1874-...,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,319,315,4,5.903493734796248,3.5,3.92,day [n] :: United States writer best known for his autobiographical works (1874-...
work::n,work,n,work,activity directed toward making or doing something,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,553,550,3,5.90142855136968,5.86,3.48,work [n] :: activity directed toward making or doing something
work::v,work,v,work,exert oneself by doing mental or physical work for a purpose or out o...,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,94,87,7,5.90142855136968,5.86,3.48,work [v] :: exert oneself by doing mental or physical work for a purpose or out o...
life::n,life,n,life,a characteristic state or mode of living,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,504,501,3,5.9006809644708715,5.89,2.69,life [n] :: a characteristic state or mode of living
before::r,before,r,before,earlier in time; previously,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,575,573,2,5.899310611470681,5.454413000000001,1.96,before [r] :: earlier in time; previously
better::r,better,r,better,comparative of ‘well’; in a better or more excellent manner or more a...,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,10,2,8,5.899235545446485,5.017476,1.91,better [r] :: comparative of ‘well’; in a better or more excellent manner or more a...
again::r,again,r,again,anew,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,214,213,1,5.898527141458522,5.784780000000001,2.0,again [r] :: anew
still::v,still,v,still,make calm or still,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,12,9,3,5.896340991412325,5.262587000000001,3.46,still [v] :: make calm or still
home::v,home,v,home,"provide with, or send to, a home",satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,16,13,3,5.888343270486459,3.8665200000000004,4.11,"home [v] :: provide with, or send to, a home"
home::r,home,r,home,at or to or in the direction of one's home or family,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,9,7,2,5.888343270486459,3.8665200000000004,4.11,home [r] :: at or to or in the direction of one's home or family
around::r,around,r,around,in the area or vicinity,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,668,666,2,5.866721573179559,5.944635000000001,1.96,around [r] :: in the area or vicinity
stop::v,stop,v,stop,"come to a halt, stop moving",satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,49,45,4,5.849004364442974,2.89,3.68,"stop [v] :: come to a halt, stop moving"
keep::v,keep,v,keep,"cause to continue in a certain state, position, or activity",satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,48,43,5,5.846286957993113,4.42,2.37,"keep [v] :: cause to continue in a certain state, position, or activity"
must::n,must,n,must,a necessary or essential thing,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,129,126,3,5.844039837815181,4.58,2.13,must [n] :: a necessary or essential thing
things::n,things,n,things,any movable possession (especially articles of clothing),satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,446,443,3,5.840076108550553,,,things [n] :: any movable possession (especially articles of clothing)
after::a,after,a,after,located farther aft,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,121,118,3,5.833575592240191,5.997920000000001,2.12,after [a] :: located farther aft
long::a,long,a,long,primarily temporal sense; being or indicating a relatively great or g...,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,93,84,9,5.828821617275062,4.239515000000001,3.18,long [a] :: primarily temporal sense; being or indicating a relatively great or g...
name::n,name,n,name,a language unit by which a person or thing is known,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,298,295,3,5.806859754176526,3.68,3.5,name [n] :: a language unit by which a person or thing is known
money::n,money,n,money,the most common medium of exchange; functions as legal tender,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,658,654,4,5.806116190004838,5.11,4.54,money [n] :: the most common medium of exchange; functions as legal tender
place::n,place,n,place,a point located with respect to surface features of some region,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,493,488,5,5.779495619263105,4.95,3.48,place [n] :: a point located with respect to surface features of some region
place::v,place,v,place,put into a certain place or abstract location,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,168,163,5,5.779495619263105,4.95,3.48,place [v] :: put into a certain place or abstract location
fine::n,fine,n,fine,money extracted as a penalty,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,155,153,2,5.776176696880547,7.44,2.61,fine [n] :: money extracted as a penalty
fine::v,fine,v,fine,record a fine as a penalty in a police record,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,10,6,4,5.776176696880547,7.44,2.61,fine [v] :: record a fine as a penalty in a police record
lot::n,lot,n,lot,(Old Testament) nephew of Abraham; God destroyed Sodom and Gomorrah b...,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,16,8,8,5.755234352770113,6.2643450000000005,3.7,lot [n] :: (Old Testament) nephew of Abraham; God destroyed Sodom and Gomorrah b...
father::n,father,n,father,‘Father’ is a term of address for priests in some churches (especiall...,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,185,179,6,5.743313547269322,4.11,4.52,father [n] :: ‘Father’ is a term of address for priests in some churches (especiall...
through::a,through,a,through,having finished or arrived at completion,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,107,105,2,5.739410755667382,5.816751,2.9,through [a] :: having finished or arrived at completion
bad::n,bad,n,bad,that which is below standard or expectations as of ethics or decency,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,46,42,4,5.735957041557379,2.79,1.68,bad [n] :: that which is below standard or expectations as of ethics or decency
bad::a,bad,a,bad,having undesirable or negative qualities,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,27,25,2,5.735957041557379,2.79,1.68,bad [a] :: having undesirable or negative qualities
bad::r,bad,r,bad,with great intensity (‘bad’ is a nonstandard variant for ‘badly’),satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,6,2,4,5.735957041557379,2.79,1.68,bad [r] :: with great intensity (‘bad’ is a nonstandard variant for ‘badly’)
boy::n,boy,n,boy,a youthful male person,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,72,70,2,5.723551631790473,3.67,4.76,boy [n] :: a youthful male person
coming::a,coming,a,coming,of the relatively near future,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,105,102,3,5.721247249436944,4.772365000000001,2.07,coming [a] :: of the relatively near future
coming::n,coming,n,coming,the act of drawing spatially closer to something,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,73,69,4,5.721247249436944,4.772365000000001,2.07,coming [n] :: the act of drawing spatially closer to something
wrong::n,wrong,n,wrong,that which is contrary to the principles of justice or law,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,41,38,3,5.7180036891797865,4.22,1.83,wrong [n] :: that which is contrary to the principles of justice or law
wrong::v,wrong,v,wrong,treat unjustly; do wrong to,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,25,21,4,5.7180036891797865,4.22,1.83,wrong [v] :: treat unjustly; do wrong to
stay::v,stay,v,stay,stay the same; remain in a certain state,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,20,17,3,5.7117733772221015,4.22,2.15,stay [v] :: stay the same; remain in a certain state
may::n,may,n,may,the month following April and preceding June,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,280,275,5,5.708158381280873,5.65,3.0,may [n] :: the month following April and preceding June
enough::n,enough,n,enough,an adequate quantity; a quantity that is large enough to achieve a pu...,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,101,95,6,5.699547885306721,6.957050000000001,1.33,enough [n] :: an adequate quantity; a quantity that is large enough to achieve a pu...
show::v,show,v,show,give an exhibition of to an interested audience,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,56,52,4,5.688155562900258,6.21,3.97,show [v] :: give an exhibition of to an interested audience
course::n,course,n,course,education imparted in a series of lessons or meetings,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,156,154,2,5.687143058223048,7.340702000000001,3.82,course [n] :: education imparted in a series of lessons or meetings
done::a,done,a,done,having finished or arrived at completion,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,186,184,2,5.685198727329462,,2.0,done [a] :: having finished or arrived at completion
mind::n,mind,n,mind,"that which is responsible for one's thoughts, feelings, and conscious...",satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,85,78,7,5.684812328687,5.37,2.5,"mind [n] :: that which is responsible for one's thoughts, feelings, and conscious..."
mind::v,mind,v,mind,"be offended or bothered by; take offense with, be bothered by",satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,38,34,4,5.684812328687,5.37,2.5,"mind [v] :: be offended or bothered by; take offense with, be bothered by"
left::n,left,n,left,location near or direction toward the left side; i.e. the side to the...,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,209,201,8,5.684671734810117,5.571640000000001,3.7,left [n] :: location near or direction toward the left side; i.e. the side to the...
left::r,left,r,left,toward or on the left; also used figuratively,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,4,1,3,5.684671734810117,5.571640000000001,3.7,left [r] :: toward or on the left; also used figuratively
understand::v,understand,v,understand,know and comprehend the nature or meaning of,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,81,78,3,5.682875161815588,6.17,2.28,understand [v] :: know and comprehend the nature or meaning of
mother::n,mother,n,mother,a woman who has given birth to a child (also used as a term of addres...,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,148,140,8,5.680592329993564,2.63,4.6,mother [n] :: a woman who has given birth to a child (also used as a term of addres...
mother::v,mother,v,mother,care for like a mother,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,5,2,3,5.680592329993564,2.63,4.6,mother [v] :: care for like a mother
try::n,try,n,try,earnest and conscientious activity intended to do or accomplish somet...,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,49,43,6,5.677708416048656,3.44,2.22,try [n] :: earnest and conscientious activity intended to do or accomplish somet...
hell::n,hell,n,hell,(Christianity) the abode of Satan and the forces of evil; where sinne...,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,25,18,7,5.6722805630118245,5.11,2.41,hell [n] :: (Christianity) the abode of Satan and the forces of evil; where sinne...
move::v,move,v,move,"change location; move, travel, or proceed, also metaphorically",satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,285,278,7,5.620743547015648,4.62,3.25,"move [v] :: change location; move, travel, or proceed, also metaphorically"
move::n,move,n,move,the act of deciding to do something,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,130,127,3,5.620743547015648,4.62,3.25,move [n] :: the act of deciding to do something
job::n,job,n,job,a Jewish hero in the Old Testament who maintained his faith in God in...,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,72,65,7,5.615374988242472,5.39,3.19,job [n] :: a Jewish hero in the Old Testament who maintained his faith in God in...
saw::v,saw,v,saw,cut with a saw,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,3,1,2,5.604180781175313,5.3585,4.46,saw [v] :: cut with a saw
found::n,found,n,found,food and lodging provided in addition to money,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,1079,1075,4,5.5971210076205855,5.14536,2.53,found [n] :: food and lodging provided in addition to money
found::v,found,v,found,set up or found,core,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,9,7,2,5.5971210076205855,5.14536,2.53,found [v] :: set up or found
whole::n,whole,n,whole,all of something including all its component elements or parts,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,141,138,3,5.585439745337278,6.89,3.25,whole [n] :: all of something including all its component elements or parts
whole::a,whole,a,whole,including all components without exception; being one unit or constit...,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,50,43,7,5.585439745337278,6.89,3.25,whole [a] :: including all components without exception; being one unit or constit...
together::a,together,a,together,mentally and emotionally stable,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,84,81,3,5.583069752993248,5.944635000000001,2.74,together [a] :: mentally and emotionally stable
head::n,head,n,head,the upper part of the human body or the front part of the body in ani...,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,669,663,6,5.569397518200379,3.42,4.75,head [n] :: the upper part of the human body or the front part of the body in ani...
matter::n,matter,n,matter,a vaguely specified concern,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,216,213,3,5.568318924253844,7.56,3.54,matter [n] :: a vaguely specified concern
excuse::v,excuse,v,excuse,accept an excuse for,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,6,4,2,5.565390955674297,6.33,2.29,excuse [v] :: accept an excuse for
many::a,many,a,many,a quantifier that can be used with count nouns and is often preceded...,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,989,983,6,5.555043990717209,4.601853000000001,2.37,many [a] :: a quantifier that can be used with count nouns and is often preceded...
idea::n,idea,n,idea,the content of cognition; the main thing you are thinking about,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,89,84,5,5.5545699218109466,5.95,1.61,idea [n] :: the content of cognition; the main thing you are thinking about
play::n,play,n,play,a dramatic work intended for performance by actors on a stage,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,217,213,4,5.549080607051831,4.1,3.24,play [n] :: a dramatic work intended for performance by actors on a stage
most::a,most,a,most,(superlative of ‘many’ used with count nouns and often preceded by ‘t...,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,52,47,5,5.5444444827118335,,2.38,most [a] :: (superlative of ‘many’ used with count nouns and often preceded by ‘t...
run::n,run,n,run,a score in baseball made by a runner touching all four bases safely,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,79,74,5,5.544177366524545,4.47,4.31,run [n] :: a score in baseball made by a runner touching all four bases safely
while::n,while,n,while,a period of indeterminate length (usually short) marked by some actio...,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,351,345,6,5.542790581476353,7.06362,1.55,while [n] :: a period of indeterminate length (usually short) marked by some actio...
school::n,school,n,school,an educational institution,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,205,204,1,5.522027521013506,3.89,4.79,school [n] :: an educational institution
school::v,school,v,school,educate in or as if in a school,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,7,5,2,5.522027521013506,3.89,4.79,school [v] :: educate in or as if in a school
business::n,business,n,business,a commercial or industrial enterprise and the people who constitute it,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,321,318,3,5.5059358781176915,7.47,3.28,business [n] :: a commercial or industrial enterprise and the people who constitute it
hope::v,hope,v,hope,expect and wish,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,20,18,2,5.5054315788918196,4.89,1.25,hope [v] :: expect and wish
